male	female
advokát	advokátka
agronom	agronomka
aranžér	aranžérka
asistent	asistentka
archivář	archivářka
astronom	astronomka
automechanik	automechanička
barman	barmanka
bankéř	bankéřka
biolog	bioložka
bratr	sestra
celník	celnice
chemik	chemička
cukrář	cukrářka
číšník	servírka
číšník	číšnice
designér	designérka
dělník	dělnice
dispečer	dispečerka
domovník	domovnice
editor	editorka
ekolog	ekoložka
elektrikář	elektrikářka
exekutor	exekutorka
filosof	filosofka
filozof	filozofka
fotograf	fotografka
fyzik	fyzička
fyzioterapeut	fyzioterapeutka
geolog	geoložka
grafik	grafička
gynekolog	gynekoložka
hasič	hasička
herec	herečka
historik	historička
hodinář	hodinářka
chemik	chemička
inspektor	inspektorka
instalatér	instalatérka
jednatel	jednatelka
kadeřník	kadeřnice
kameraman	kameramanka
knihovník	knihovnice
konzultant	konzultantka
korektor	korektorka
kosmetik	kosmetička
kovář	kovářka
kuchař	kuchařka
kurátor	kurátorka
kurýr	kurýrka
laborant	laborantka
lakýrník	lakýrnice
lektor	lektorka
lesník	lesnice
lékárník	lékárnice
makléř	makléřka
malíř	malířka
manažer	manažerka
manikér	manikérka
maskér	maskérka
masér	masérka
matematik	matematička
mechanik	mechanička
mistr	mistryně
moderátor	moderátorka
muž	žena
náměstek	náměstkyně
notář	notářka
novinář	novinářka
operátor	operátorka
optik	optička
ošetřovatel	ošetřovatelka
pekař	pekařka
pilot	pilotka
policista	policistka
prodavač	prodavačka
projektant	projektantka
pracovník	pracovnice
právník	právnička
psycholog	psycholožka
průvodce	průvodkyně
referent	referentka
režisér	režisérka
ředitel	ředitelka
řezník	řeznice
řidič	řidička
skladník	skladnice
sklář	sklářka
soudce	soudkyně
specialista	specialistka
spisovatel	spisovatelka
šéfkuchař	šéfkuchařka
šéfredaktor	šéfredaktorka
stevard	letuška
stevard	stevardka
student	studentka
tajemník	tajemnice
tanečník	tanečnice
technik	technička
tlumočník	tlumočnice
trenér	trenérka
truhlář	truhlářka
uklízeč	uklízečka
učitel	učitelka
úředník	úřednice
voják	vojákyně
vrátný	vrátná
vychovatel	vychovatelka
zaměstnanec	zaměstnankyně
zpěvák	zpěvačka
